	url	title
100	/wiki/Battle_of_Spartolos	Battle of Spartolos
101	/wiki/Battle_of_Rhium	Battle of Rhium
102	/wiki/Battle_of_Naupactus_(429_BC)	Battle of Naupactus (429 BC)
103	/wiki/Battle_of_Tanagra_(426_BC)	Battle of Tanagra (426 BC)
104	/wiki/Battle_of_Olpae	Battle of Olpae
105	/wiki/Battle_of_Idomene	Battle of Idomene
106	/wiki/Battle_of_Pylos	Battle of Pylos
107	/wiki/Battle_of_Sphacteria	Battle of Sphacteria
108	/wiki/Battle_of_Megara	Battle of Megara
109	/wiki/Battle_of_Delium	Battle of Delium
110	/wiki/Battle_of_Amphipolis	Battle of Amphipolis
111	/wiki/Battle_of_Mantinea_(418_BC)	Battle of Mantinea (418 BC)
112	/wiki/Battle_of_Hysiae_(417_BC)	Battle of Hysiae (417 BC)
113	/wiki/Battle_of_Melos	Battle of Melos
114	/wiki/Battle_of_Syracuse_(415_BC)	Battle of Syracuse (415 BC)
115	/wiki/Battle_of_Eretria	Battle of Eretria
116	/wiki/Battle_of_Syme	Battle of Syme
117	/wiki/Battle_of_Cynossema	Battle of Cynossema
118	/wiki/Battle_of_Cyzicus	Battle of Cyzicus
119	/wiki/Battle_of_Abydos	Battle of Abydos
120	/wiki/Battle_of_Selinus	Battle of Selinus
121	/wiki/Battle_of_Himera_(409_BC)	Battle of Himera (409 BC)
122	/wiki/Battle_of_Notium	Battle of Notium
123	/wiki/Battle_of_Mytilene_(406_BC)	Battle of Mytilene (406 BC)
124	/wiki/Battle_of_Arginusae	Battle of Arginusae
125	/wiki/Siege_of_Akragas_(406_BC)	Siege of Akragas (406 BC)
126	/wiki/Battle_of_Gela_(405_BC)	Battle of Gela (405 BC)
127	/wiki/Battle_of_Aegospotami	Battle of Aegospotami
128	/wiki/Battle_of_Phyle	Battle of Phyle
129	/wiki/Battle_of_Munychia	Battle of Munychia
130	/wiki/Battle_of_Piraeus	Battle of Piraeus
131	/wiki/Battle_of_Cunaxa	Battle of Cunaxa
132	/wiki/Siege_of_Motya	Siege of Motya
133	/wiki/Battle_of_Messene	Battle of Messene
134	/wiki/Battle_of_Catana_(397_BC)	Battle of Catana (397 BC)
135	/wiki/Siege_of_Syracuse_(397_BC)	Siege of Syracuse (397 BC)
136	/wiki/Battle_of_Veii	Battle of Veii
137	/wiki/Battle_of_Haliartus	Battle of Haliartus
138	/wiki/Battle_of_Nemea_(394_BC)	Battle of Nemea (394 BC)
139	/wiki/Battle_of_Cnidus	Battle of Cnidus
140	/wiki/Battle_of_Coronea_(394_BC)	Battle of Coronea (394 BC)
141	/wiki/Siege_of_Tauromenium_(394_BC)	Siege of Tauromenium (394 BC)
142	/wiki/Battle_of_Lechaeum	Battle of Lechaeum
143	/wiki/Battle_of_the_Allia	Battle of the Allia
144	/wiki/Battle_of_the_Elleporus	Battle of the Elleporus
145	/wiki/Siege_of_Theodosia_(389_BC)	Siege of Theodosia (389 BC)
146	/wiki/Siege_of_Rhegium	Siege of Rhegium
147	/wiki/Battle_of_Labrytai	Battle of Labrytai
148	/wiki/Battle_of_Naxos	Battle of Naxos
149	/wiki/Battle_of_Tegyra	Battle of Tegyra
150	/wiki/Battle_of_Leuctra	Battle of Leuctra
151	/wiki/Siege_of_Theodosia_(c._365_BC)	Siege of Theodosia (c. 365 BC)
152	/wiki/Battle_of_Cynoscephalae_(364_BC)	Battle of Cynoscephalae (364 BC)
153	/wiki/Battle_of_Mantinea_(362_BC)	Battle of Mantinea (362 BC)
154	/wiki/Siege_of_Theodosia_(c._360_BC)	Siege of Theodosia (c. 360 BC)
155	/wiki/Battle_of_Embata	Battle of Embata
156	/wiki/Battle_of_Crocus_Field	Battle of Crocus Field
157	/wiki/Battle_of_Guiling	Battle of Guiling
158	/wiki/Battle_of_Pelusium_(343_BC)	Battle of Pelusium (343 BC)
159	/wiki/Battle_of_Mount_Gaurus	Battle of Mount Gaurus
160	/wiki/Battle_of_Maling	Battle of Maling
161	/wiki/Battle_of_Suessula	Battle of Suessula
162	/wiki/Battle_of_the_Crimissus	Battle of the Crimissus
163	/w/index.php?title=Siege_of_Byzantium&action=edit&redlink=1	Siege of Byzantium (page does not exist)
164	/wiki/Battle_of_Vesuvius	Battle of Vesuvius
165	/wiki/Battle_of_Chaeronea_(338_BC)	Battle of Chaeronea (338 BC)
166	/wiki/Battle_of_Trifanum	Battle of Trifanum
167	/wiki/Siege_of_Pelium	Siege of Pelium
168	/wiki/Battle_of_Thebes	Battle of Thebes
169	/wiki/Battle_of_the_Granicus	Battle of the Granicus
170	/wiki/Siege_of_Miletus	Siege of Miletus
171	/wiki/Siege_of_Halicarnassus	Siege of Halicarnassus
172	/wiki/Battle_of_Issus	Battle of Issus
173	/w/index.php?title=Siege_of_Gordium&action=edit&redlink=1	Siege of Gordium (page does not exist)
174	/wiki/Siege_of_Tyre_(332_BC)	Siege of Tyre (332 BC)
175	/wiki/Siege_of_Gaza	Siege of Gaza
176	/wiki/Battle_of_Pandosia	Battle of Pandosia
177	/wiki/Battle_of_Megalopolis	Battle of Megalopolis
178	/wiki/Battle_of_Gaugamela	Battle of Gaugamela
179	/wiki/Battle_of_the_Persian_Gate	Battle of the Persian Gate
180	/wiki/Siege_of_Cyropolis	Siege of Cyropolis
181	/wiki/Capture_of_Neapolis	Capture of Neapolis
182	/wiki/Siege_of_the_Sogdian_Rock	Siege of the Sogdian Rock
183	/wiki/Siege_of_Aornos	Siege of Aornos
184	/wiki/Battle_of_the_Hydaspes	Battle of the Hydaspes
