,Date,Location,Result,belligerent,own,opp,taken,inflicted,Battle,pos
0,"November 23, 1837","Saint-Denis, Quebec",Patriote victory,Charles Stephen Gore,"300 regulars
1 cannon","200 militia
600 unarmed civilians","6–54 dead
10 wounded
6 missing","12 dead
7 wounded",Battle_of_Saint-Denis_(1837),L
1,"November 23, 1837","Saint-Denis, Quebec",Patriote victory,Wolfred Nelson,"200 militia
600 unarmed civilians","300 regulars
1 cannon","12 dead
7 wounded","6–54 dead
10 wounded
6 missing",Battle_of_Saint-Denis_(1837),R
