,Date,Location,Result,belligerent,own,opp,taken,inflicted,Battle,pos
0,1402,"Nesbit Moor
Coordinates: 55°45′23″N 2°17′41″W﻿ / ﻿55.75639°N 2.29472°W﻿ / 55.75639; -2.29472",Decisive English Victory,Robert de Lawedre of Edrington,400,200,Very High,Low,Battle of Nesbit Moor (1402),L
1,1402,"Nesbit Moor
Coordinates: 55°45′23″N 2°17′41″W﻿ / ﻿55.75639°N 2.29472°W﻿ / 55.75639; -2.29472",Decisive English Victory,"George I, Earl of March",200,400,Low,Very High,Battle of Nesbit Moor (1402),R
