Column1,Column2,Column3,Column4
497,/wiki/Battle_of_Mobile_(1781),Battle_of_Mobile_(1781),
499,/wiki/Battle_of_Cowpens,Battle_of_Cowpens,
500,/wiki/Battle_of_Guilford_Court_House,Battle_of_Guilford_Court_House,
501,/wiki/Battle_of_Porto_Praya,Battle_of_Porto_Praya,
502,/wiki/Battle_of_Hobkirk%27s_Hill,Battle_of_Hobkirk's_Hill,
503,/wiki/Battle_of_Fort_Royal,Battle_of_Fort_Royal,
504,/wiki/Battle_of_Pensacola_(1781),Battle_of_Pensacola_(1781),
505,/wiki/Shirley%27s_Gold_Coast_expedition,Shirley's_Gold_Coast_expedition,
506,/wiki/Battle_of_Dogger_Bank_(1781),Battle_of_Dogger_Bank_(1781),
507,/wiki/Battle_of_the_Chesapeake,Battle_of_the_Chesapeake,
508,/wiki/Battle_of_Groton_Heights,Battle_of_Groton_Heights,
509,/wiki/Battle_of_Eutaw_Springs,Battle_of_Eutaw_Springs,
510,/wiki/Battle_of_Yorktown_(1781),Battle_of_Yorktown_(1781),
511,/wiki/Siege_of_Negapatam,Siege_of_Negapatam,
512,/wiki/Battle_of_Ushant_(1781),Battle_of_Ushant_(1781),
513,/wiki/Battle_of_Fort_Elmina_(1782),Battle_of_Fort_Elmina_(1782),
515,/wiki/Second_Battle_of_Tucson,Second_Battle_of_Tucson,
516,/wiki/Battle_of_St._Kitts,Battle_of_St._Kitts,
517,/wiki/Battle_of_Sadras,Battle_of_Sadras,
518,/wiki/Battle_of_Wuchale,Battle_of_Wuchale,
519,/wiki/Battle_of_the_Saintes,Battle_of_the_Saintes,
520,/wiki/Battle_of_Providien,Battle_of_Providien,
521,/wiki/Battle_of_Negapatam_(1782),Battle_of_Negapatam_(1782),
522,/wiki/Battle_of_Blue_Licks,Battle_of_Blue_Licks,
523,/wiki/Battle_of_Trincomalee,Battle_of_Trincomalee,
524,/wiki/Battle_of_Chillicothe,Battle_of_Chillicothe,
525,/wiki/Battle_of_Cuddalore_(1783),Battle_of_Cuddalore_(1783),
526,/wiki/Fourth_Battle_of_Tucson,Fourth_Battle_of_Tucson,
528,/wiki/Battle_of_Madab,Battle_of_Madab,
529,/wiki/Battle_of_Turnhout_(1789),Battle_of_Turnhout_(1789),
530,/wiki/Battle_of_Kepaniwai,Battle_of_Kepaniwai,
532,/wiki/Battle_of_Fort_Wayne,Battle_of_Fort_Wayne,
533,/wiki/St._Clair%27s_Defeat,St._Clair's_Defeat,
534,/wiki/Battle_of_Ziele%C5%84ce,Battle_of_Zieleńce,
536,/wiki/Battle_of_Verdun_(1792),Battle_of_Verdun_(1792),
537,/wiki/Battle_of_Valmy,Battle_of_Valmy,
538,/wiki/Battle_of_Jemappes,Battle_of_Jemappes,
539,/wiki/Battle_of_Neerwinden_(1793),Battle_of_Neerwinden_(1793),
541,/wiki/Siege_of_Toulon,Siege_of_Toulon,
542,/wiki/Battle_of_M%C3%A9ribel,Battle_of_Méribel,
543,/wiki/Battle_of_Hondschoote_(1793),Battle_of_Hondschoote_(1793),
544,/wiki/Battle_of_Wattignies,Battle_of_Wattignies,
545,/wiki/Battle_of_Kaiserslautern,Battle_of_Kaiserslautern,
546,/w/index.php?title=Battle_of_Gilette&action=edit&redlink=1,Battle_of_Gilette_(page_does_not_exist),
547,/w/index.php?title=Battle_of_Woerth&action=edit&redlink=1,Battle_of_Woerth_(page_does_not_exist),
548,/w/index.php?title=Battle_of_Geisberg&action=edit&redlink=1,Battle_of_Geisberg_(page_does_not_exist),
549,/wiki/Battle_of_Rac%C5%82awice,Battle_of_Racławice,
551,/wiki/Warsaw_Uprising_(1794),Warsaw_Uprising_(1794),
552,/wiki/Wilno_Uprising_(1794),Wilno_Uprising_(1794),
553,/wiki/Battle_of_Boulou,Battle_of_Boulou,
554,/wiki/Glorious_First_of_June,Glorious_First_of_June,
555,/wiki/Battle_of_Szczekociny,Battle_of_Szczekociny,
556,/w/index.php?title=Battle_of_Mouescron&action=edit&redlink=1,Battle_of_Mouescron_(page_does_not_exist),
557,/wiki/Battle_of_Tourcoing,Battle_of_Tourcoing,
558,/wiki/Battle_of_Fleurus_(1794),Battle_of_Fleurus_(1794),
559,/wiki/Battle_of_Sprimont,Battle_of_Sprimont,
560,/wiki/Battle_of_Aldenhoven_(1794),Battle_of_Aldenhoven_(1794),
561,/wiki/Battle_of_Fallen_Timbers,Battle_of_Fallen_Timbers,
562,/wiki/Battle_of_Maciejowice,Battle_of_Maciejowice,
563,/wiki/Battle_of_Praga,Battle_of_Praga,
564,/wiki/Battle_of_San_Lorenzo_de_la_Muga,Battle_of_San_Lorenzo_de_la_Muga,
565,/wiki/Battle_of_Richmond_Hill,Battle_of_Richmond_Hill,
567,/wiki/Capture_of_Trincomalee,Capture_of_Trincomalee,
568,/wiki/Battle_of_Muizenberg,Battle_of_Muizenberg,
569,/wiki/Battle_of_Krtsanisi,Battle_of_Krtsanisi,
570,/wiki/Battle_of_Loano,Battle_of_Loano,
571,/wiki/Battle_of_Montenotte,Battle_of_Montenotte,
573,/w/index.php?title=Battle_of_Dego&action=edit&redlink=1,Battle_of_Dego_(page_does_not_exist),
574,/wiki/Battle_of_Lodi,Battle_of_Lodi,
575,/wiki/Battle_of_Derbent,Battle_of_Derbent,
576,/wiki/Battle_of_Castiglione,Battle_of_Castiglione,
577,/wiki/Battle_of_W%C3%BCrzburg,Battle_of_Würzburg,
578,/wiki/Battle_of_Bassano,Battle_of_Bassano,
579,/wiki/Battle_of_the_Bridge_of_Arcole,Battle_of_the_Bridge_of_Arcole,
580,/wiki/Battle_of_Millesimo,Battle_of_Millesimo,
581,/wiki/Battle_of_Mondov%C3%AC,Battle_of_Mondovì,
582,/wiki/Battle_of_Rivoli,Battle_of_Rivoli,
584,/wiki/Battle_of_Tagliamento,Battle_of_Tagliamento,
585,/wiki/Battle_of_Neuwied_(1797),Battle_of_Neuwied_(1797),
586,/w/index.php?title=Battle_of_Dierscheim&action=edit&redlink=1,Battle_of_Dierscheim_(page_does_not_exist),
587,/wiki/Battle_of_Cape_St_Vincent_(1797),Battle_of_Cape_St_Vincent_(1797),
588,/wiki/Battle_of_Camperdown,Battle_of_Camperdown,
589,/wiki/Battle_of_Ballymore-Eustace,Battle_of_Ballymore-Eustace,
591,/wiki/Battle_of_Naas,Battle_of_Naas,
592,/wiki/Battle_of_Kilcullen,Battle_of_Kilcullen,
593,/wiki/Battle_of_Carlow,Battle_of_Carlow,
594,/wiki/Battle_of_Tara_Hill,Battle_of_Tara_Hill,
595,/wiki/Battle_of_Oulart_Hill,Battle_of_Oulart_Hill,
596,/wiki/Gibbet_Rath_massacre,Gibbet_Rath_massacre,
597,/wiki/Battle_of_Three_Rocks,Battle_of_Three_Rocks,
598,/wiki/Battle_of_Bunclody,Battle_of_Bunclody,
599,/wiki/Battle_of_Tuberneering,Battle_of_Tuberneering,
600,/wiki/Battle_of_New_Ross_(1798),Battle_of_New_Ross_(1798),
601,/wiki/Battle_of_Antrim,Battle_of_Antrim,
602,/wiki/Battle_of_Arklow,Battle_of_Arklow,
603,/wiki/Battle_of_Prosperous,Battle_of_Prosperous,
604,/wiki/Battle_of_Foulksmills,Battle_of_Foulksmills,
605,/wiki/Battle_of_Vinegar_Hill,Battle_of_Vinegar_Hill,
606,/wiki/Battle_of_Ballyellis,Battle_of_Ballyellis,
607,/wiki/Battle_of_the_Pyramids,Battle_of_the_Pyramids,
608,/wiki/Battle_of_the_Nile,Battle_of_the_Nile,
