,Date,Location,Result,belligerent,own,opp,taken,inflicted,Battle,pos
0,1541,"Uehara, Shinano Province",Takeda victory,Suwa Yorishige,1000,5000,300,10,Siege of Uehara,L
1,1541,"Uehara, Shinano Province",Takeda victory,Takeda Shingen,5000,1000,10,300,Siege of Uehara,R
